tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf
-0.835333,-0.791277,1.141646,1.65202,0.017396,1.079352,-0.017077,-1.09249,0.457444,1.219952,1.321561,1.578947,1.073067,unstable
1.478223,-0.126699,-0.803071,-1.414972,1.752037,-1.593539,-1.438087,-0.011575,-0.406771,1.230293,0.135417,0.936209,-0.587458,stable
1.357025,1.312074,-0.803459,-1.47143,-0.458469,0.098248,-0.062836,0.760925,-1.319787,0.881255,1.146538,-1.513727,-0.332079,unstable
-1.653056,0.882245,-0.278341,-1.060848,0.284236,0.513878,-1.590967,0.583385,-0.28729,1.647168,1.474469,-0.591721,0.355904,unstable
-0.771504,0.860065,-0.111664,1.68003,-0.29806,0.287435,-1.376274,1.606555,0.992176,-0.253597,0.481108,1.079009,0.924441,unstable
0.637804,1.407175,-0.534516,-0.358137,0.903623,-1.402055,1.338466,-1.505959,-0.959714,-1.630128,0.065208,-0.200795,-0.896985,stable
0.532412,-0.541393,0.612317,1.301182,-1.798262,1.467344,0.095082,1.561065,-1.265645,-0.463159,-0.448322,-0.540992,-0.264832,unstable
0.621142,-1.411416,0.171153,0.955427,-0.698661,1.156957,0.1466,-0.090017,-0.560116,0.394536,0.757473,-0.52672,0.02447,unstable
-0.204244,-0.452956,-1.375155,-0.552846,0.387284,-0.370279,0.027239,-0.329653,-0.930853,-1.00139,-1.312864,-0.155187,-1.473697,stable
1.674172,-1.398764,1.648048,0.87204,1.299717,-1.712017,0.906076,-1.451603,-0.54199,0.070792,0.97369,-1.490356,-0.090671,unstable
0.247985,0.539962,0.36285,-1.719823,-1.891763,1.264331,0.307319,1.714247,-1.039848,0.138956,-1.314614,0.833901,-1.195653,stable
0.047875,1.008011,1.037418,0.553954,2.336671,-1.66895,-1.384028,-1.005704,-0.601723,-1.281404,-0.641216,0.3787,0.335851,unstable
-1.324758,-0.842564,-1.615363,-0.385842,0.003034,-0.542414,-0.070622,0.607766,1.366238,1.245358,-0.806111,-1.631293,-1.742938,stable
1.203843,1.117556,-0.9845,1.705275,1.517913,-1.290025,0.191528,-1.538043,0.318695,-0.889747,-0.62226,-0.192551,0.325707,unstable
-1.501484,-0.849457,1.349502,0.728731,1.706659,-1.376515,-0.260435,-1.32743,-0.629733,-0.003017,0.269835,0.544712,-0.023036,unstable
0.645882,-0.319304,-0.172868,1.308425,-0.550604,0.66417,-0.364006,0.656208,0.678563,0.36595,-0.206616,1.349631,1.537891,unstable
