est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
0.3841978911,0.8590926012,19254.0305650123,45766906.67241328,1,1,19.2,False
0.0231502122,0.0517654482,43568.2632348644,13159409.456322676,1,1,25.3,False
0.0608912622,0.1361570015,7670.9960352557,41756772.15187285,1,1,23.2,False
0.2210828104,0.4943561926,73462.8645056718,71181914.04648153,1,1,20.4,False
0.1326034968,0.2965104328,44555.2032732073,24074304.36666645,1,1,21.51,True
0.0421264611,0.0941976306,83178.6800897614,64260645.5018041,1,1,24.0,False
0.0334622374,0.0748238376,19267.064763664,25349256.686717767,1,1,24.5,False
0.2016299194,0.4508582062,136810.81116229,65488786.17996756,1,1,20.6,True
0.1010543415,0.2259643771,70674.1827675664,65589309.71037637,1,1,22.1,False
0.0305179233,0.0682401509,65306.4503200553,36541256.57863354,1,1,24.7,False
0.1997813652,0.4467247133,70883.0053977618,68137956.21743251,1,1,20.62,True
0.0167708462,0.0375007522,81940.9719790825,1836072.208810589,1,1,26.0,False
0.063760979,0.1425738833,58979.2723143473,4740768.16893386,1,1,23.1,False
0.2111324448,0.4721064988,39734.8748206952,67254037.48553824,1,1,20.5,False
0.0506471459,0.1132504611,15862.5020394783,52296308.907350086,1,1,23.6,False
0.022108281,0.0494356193,43352.3160656197,4387963.044873418,1,1,25.4,False
0.0211132445,0.0472106499,27256.3393297266,4139493.893099599,1,1,25.5,False
0.1382149359,0.3090579921,79178.1445411056,38452178.58571993,1,1,21.42,False
0.0350392641,0.0783501764,85421.5683933935,1694917.597714028,1,1,24.4,False
0.0250354255,0.0559809132,102801.2684795024,44942926.047510006,1,1,25.13,False
0.012605352,0.0281864239,48101.5674637567,2790952.810017651,1,1,26.62,False
0.096506147,0.2157943048,87157.0932070806,49114258.16713151,1,1,22.2,False
0.1838886721,0.411187571,42265.6439311894,16170911.922756689,1,1,20.8,True
0.046190746,0.1032856481,60497.4035151245,47609522.56133383,1,1,23.8,False
0.1272198785,0.2844722965,61098.6312995785,40375201.26531488,1,1,21.6,True
0.058150704,0.130028927,26096.2913511518,24097360.67462681,1,1,23.3,False
0.1214940408,0.2716689341,65037.6919455502,30299130.42461086,1,1,21.7,False
0.2016299194,0.4508582062,108208.5316058027,70785993.12583116,1,1,20.6,False
0.1756123185,0.3926810818,26724.5594638054,37041371.90710616,1,1,20.9,False
0.2503542548,0.5598091321,22920.9075420372,62081141.432914935,1,1,20.13,False
0.2783267681,0.6223575734,10636.8519769793,40878973.93259368,1,1,19.9,False
0.1108038821,0.2477650126,6150.7479105492,56968585.41187995,1,1,21.9,False
