symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
1.739213,0,-1.943498,-0.327995,-0.468149,-1.138865,-2.151411,-1.210367,-0.121569,-1.686643,-0.42548,-0.842719,-2.015483,-0.014531,-2.008839,-0.400385,0.074267,-0.676727,0.517822,-1.834912,-0.287645,0.170647,-0.262841,-0.644974,-0.544725,13495
1.739213,0,-1.943498,-0.327995,-0.468149,-1.138865,-2.151411,-1.210367,-0.121569,-1.686643,-0.42548,-0.842719,-2.015483,-0.014531,-2.008839,-0.400385,0.074267,-0.676727,0.517822,-1.834912,-0.287645,0.170647,-0.262841,-0.644974,-0.544725,16500
0.133183,0,-1.943498,-0.327995,-0.468149,-1.138865,-0.956183,-1.210367,-0.121569,-0.706865,-0.230948,-0.190101,-0.5422,0.513625,-1.077137,0.396498,0.602571,-0.676727,-2.39899,0.684245,-0.287645,1.258726,-0.262841,-0.950684,-0.689938,16500
0.936198,1.325715,-1.784131,-0.327995,-0.468149,0.873784,0.239046,0.587642,-0.121569,0.173274,0.20675,0.136209,0.235366,-0.41977,-0.145436,-0.400385,-0.430023,-0.676727,-0.515985,0.461028,-0.035885,-0.05709,0.785423,-0.186409,-0.109087,13950
0.936198,1.325715,-1.784131,-0.327995,-0.468149,0.873784,0.239046,2.385652,-0.121569,0.106848,0.20675,0.22944,0.235366,0.515545,-0.145436,1.19338,0.21835,-0.676727,-0.515985,0.461028,-0.539405,0.271864,0.785423,-1.10354,-1.270789,17450
0.936198,0,-1.784131,-0.327995,-0.468149,-1.138865,0.239046,0.587642,-0.121569,0.173274,0.263488,0.182824,-0.255728,-0.093274,-0.145436,1.19338,0.21835,-0.676727,-0.515985,0.461028,-0.413525,0.145343,0.785423,-0.950684,-0.835151,15250
0.133183,1.136327,-1.784131,-0.327995,-0.468149,0.873784,0.239046,0.587642,-0.121569,1.169657,1.511737,2.560221,0.808309,0.553956,-0.145436,1.19338,0.21835,-0.676727,-0.515985,0.461028,-0.413525,0.145343,0.785423,-0.950684,-0.835151,17710
0.133183,0,-1.784131,-0.327995,-0.468149,0.873784,1.434274,0.587642,-0.121569,1.169657,1.511737,2.560221,0.808309,0.765219,-0.145436,1.19338,0.21835,-0.676727,-0.515985,0.461028,-0.413525,0.145343,0.785423,-0.950684,-0.835151,18920
0.133183,1.136327,-1.784131,-0.327995,2.125651,0.873784,0.239046,0.587642,-0.121569,1.169657,1.511737,2.560221,0.890159,1.018733,-0.145436,1.19338,0.098281,-0.676727,-0.737515,0.461028,-0.463877,0.904468,0.785423,-1.256395,-1.561215,23875
0.936198,2.209526,-1.624764,-0.327995,-0.468149,-1.138865,0.239046,-1.210367,-0.121569,0.405763,0.222961,-0.51641,0.235366,-0.308377,-0.145436,-0.400385,-0.454037,-0.676727,0.628587,-1.452255,-0.337997,-0.082394,1.414382,-0.339264,-0.2543,16430
-0.669832,2.209526,-1.624764,-0.327995,-0.468149,0.873784,0.239046,-1.210367,-0.121569,0.405763,0.222961,-0.51641,0.235366,-0.308377,-0.145436,-0.400385,-0.454037,-0.676727,0.628587,-1.452255,-0.337997,-0.082394,1.414382,-0.339264,-0.2543,16925
-0.669832,2.083267,-1.624764,-0.327995,-0.468149,-1.138865,0.239046,-1.210367,-0.121569,0.405763,0.222961,-0.51641,0.235366,0.296601,-0.145436,0.396498,0.890737,-0.676727,-0.072925,-0.208621,-0.287645,0.423689,-1.835237,-0.644974,-0.399512,20970
-0.669832,2.083267,-1.624764,-0.327995,-0.468149,0.873784,0.239046,-1.210367,-0.121569,0.405763,0.222961,-0.51641,0.235366,0.402232,-0.145436,0.396498,0.890737,-0.676727,-0.072925,-0.208621,-0.287645,0.423689,-1.835237,-0.644974,-0.399512,21105
0.133183,0,-1.624764,-0.327995,-0.468149,0.873784,0.239046,-1.210367,-0.121569,0.78771,1.211833,0.462518,0.808309,0.959196,-0.145436,0.396498,0.890737,-0.676727,-0.072925,-0.208621,-0.287645,0.423689,-1.835237,-0.797829,-0.835151,24565
-0.669832,0,-1.624764,-0.327995,-0.468149,0.873784,0.239046,-1.210367,-0.121569,0.78771,1.211833,0.462518,0.808309,1.295294,-0.145436,0.396498,1.971359,-0.676727,1.071647,0.42914,-0.539405,1.967242,0.575771,-1.40925,-1.270789,30760
-0.669832,0,-1.624764,-0.327995,-0.468149,-1.138865,0.239046,-1.210367,-0.121569,0.78771,1.600897,0.928674,-0.010181,1.583379,-0.145436,0.396498,1.971359,-0.676727,1.071647,0.42914,-0.539405,1.967242,0.575771,-1.40925,-1.270789,41315
